Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P08169	P08169	IGF2R	IGF2R					15169779:0114:LC
P08209	P08209	CRYGD	CRYGD					15299634:0114:LC
P08239	P19754	GNAO1	ADCY1					9417641:0114:LC|11087399:0114:LC
P08487	P08487	PLCG1	PLCG1					19955438:0077:LC|28376302:0114:LC
P08487	Q32PK0	PLCG1	SYK					16410013:0114:LC
P0CG53	P0CG53	UBB	UBB					1322903:0114:LC|21399620:0114:LC
P0CH28	P0CH28	UBC	UBC					1322903:0114:LC|12787502:0114:LC|PDB_2ZCC:0114:LC|25723849:0114:LC|25752573:0114:LC|19935683:0114:LC|20003470:0114:LC
P10096	P10096	GAPDH	GAPDH					25176140:0114:LC
P11064	P11064	ACP1	ACP1					7537084:0114:LC|10512620:0114:LC
P11116	P11116	LGALS1	LGALS1					7773775:0114:LC|8108426:0114:LC
P11456	P11456	M6PR	M6PR					18272523:0114:LC|19928875:0114:LC|9604938:0114:LC|10514470:0114:LC|11786557:0114:LC
P11541	P23439	PDE6A	PDE6B					30820458:0114:LC
P13271	P13272	UQCRQ	UQCRFS1					9651245:0114:LC|12885240:0114:LC|12269811:0114:LC
P13271	P31800	UQCRQ	UQCRC1					9651245:0114:LC|12885240:0114:LC|12269811:0114:LC
P13272	P23004	UQCRFS1	UQCRC2					9651245:0114:LC|12269811:0114:LC
P13272	P31800	UQCRFS1	UQCRC1					9651245:0114:LC|12885240:0114:LC|12269811:0114:LC
P13621	P19483	ATP5PO	ATP5F1A					17355883:0114:LC
P13696	P13696	PEBP1	PEBP1					9782057:0114:LC
P14769	P14769	GGTA1	GGTA1					12011052:0114:LC|15229192:0114:LC|11592969:0114:LC|18651752:0114:LC|17493636:0114:LC|18782853:0114:LC|14621997:0114:LC|19486884:0114:LC|28960760:0114:LC
P17599	P17599	SYN1	SYN1					9463376:0114:LC
P17870	P17870	ARRB1	ARRB1					PDB_2WTR:0114:LC|11566136:0114:LC|19710023:0114:LC
P17870	P49951	ARRB1	CLTC					19710023:0114:LC
P18203	P48452	FKBP1A	PPP3CA					7543369:0114:LC
P18203	P63099	FKBP1A	PPP3R1					7543369:0114:LC
P19120	P19120	HSPA8	HSPA8					17996706:0114:LC
P19120	Q27974	HSPA8	DNAJC6					17996706:0114:LC
P19632	P62871	PDC	GNB1					9739091:0114:LC|14578377:0401:LC|7929057:0091:LC
P20000	P20000	ALDH2	ALDH2					9195888:0114:LC
P20456	P20456	IMPA1	IMPA1					15858264:0114:LC
P21146	P21146	GRK2	GRK2					15865441:0114:LC
P21146	P62871	GRK2	GNB1					16339447:0114:LC|22727813:0114:LC|21596927:0114:LC|12764189:0114:LC
P21457	P21457	RCVRN	RCVRN					17015448:0114:LC
P21457	P28327	RCVRN	GRK1					17020884:0114:LC
P21793	P21793	DCN	DCN					12601001:0114:LC|15501918:0114:LC
P22027	P22027	DMAC2L	DMAC2L					18768789:0114:LC
P23004	P23004	UQCRC2	UQCRC2					9651245:0114:LC|9204897:0114:LC
P23004	P31800	UQCRC2	UQCRC1					9651245:0114:LC|9204897:0114:LC|12269811:0114:LC|12885240:0114:LC
P23727	P23727	PIK3R1	PIK3R1					30651929:0114:LC|29740032:0114:LC|19416886:0872:LC|19416886:0020:LC|19416886:0944:LC|19416886:0077:LC
P23727	P32871	PIK3R1	PIK3CA					8313896:0006:LC|8313896:0096:LC|8383968:0226:LC|8383968:0004:LC
P24627	P24627	LTF	LTF					PDB_3USD:0114:LC|PDB_3UGW:0114:LC|PDB_3U72:0114:LC|24798798:0114:LC|PDB_4G2Z:0114:LC|PDB_4N6P:0114:LC|PDB_3UK4:0114:LC|PDB_5CRY:0114:LC|PDB_4GRK:0114:LC|PDB_4FIM:0114:LC|PDB_3TOD:0114:LC|PDB_3VDF:0114:LC|PDB_4FOR:0114:LC|16041076:0114:LC|PDB_4DIG:0114:LC|26850578:0114:LC|PDB_3V5A:0114:LC|PDB_4DXU:0114:LC|PDB_3U8Q:0114:LC
P28327	P28327	GRK1	GRK1					24220010:0114:LC|18339619:0114:LC|21265573:0114:LC|25340299:0114:LC
P29473	P29473	NOS3	NOS3					14718923:0114:LC|9875848:0114:LC|11331290:0114:LC|PDB_1DMI:0114:LC|27050842:0114:LC|21809851:0114:LC|24447275:0114:LC|11590164:0114:LC|9516116:0114:LC|17425297:0114:LC|12437343:0114:LC|26120733:0114:LC|26469213:0114:LC|11051558:0114:LC|20337441:0114:LC|15122883:0114:LC|24472039:0114:LC|28776992:0114:LC|9334294:0114:LC|24819538:0114:LC|PDB_7NSE:0114:LC|9837881:0114:LC|23867386:0114:LC|8646406:0114:LC|24660051:0114:LC|25089924:0114:LC|23352768:0114:LC|10200153:0114:LC|24145412:0114:LC|18849972:0114:LC|PDB_6NSE:0114:LC|10514281:0114:LC|11331003:0114:LC|28422508:0114:LC|25489882:0114:LC|20843082:0114:LC|11695891:0114:LC|PDB_5NSE:0114:LC|20958055:0114:LC|16804678:0114:LC|23993333:0114:LC|25149509:0114:LC|19296678:0114:LC|21138269:0114:LC|24758147:0114:LC|PDB_1DM8:0114:LC|16285725:0114:LC
P30122	P30122	CEL	CEL					9331420:0114:LC
P31783	P31783	CD8A	CD8A					27122108:0114:LC
P32120	P32120	ARRB2	ARRB2					21215759:0114:LC
P35605	Q27954	COPB2	COPA					8858162:0018:LC|20579721:0071:LC|10921873:0018:LC
P43896	P49410	TSFM	TUFM					15557323:0114:LC
P48452	P63099	PPP3CA	PPP3R1					7543369:0114:LC
P49410	P49410	TUFM	TUFM					10715211:0114:LC
P49951	P49951	CLTC	CLTC					14981508:0114:LC|15502812:0114:LC|15502813:0114:LC|19925798:0872:LC
P52175	P52175	NME1-2	NME1-2					9760230:0114:LC
P53619	P53619	ARCN1	ARCN1					26057672:0114:LC
P55859	P55859	PNP	PNP					19944078:0114:LC
P56965	P56965	DDAH1	DDAH1					16698551:0114:LC
P60519	P60519	GABARAPL2	GABARAPL2					10856287:0114:LC|10747018:0114:LC
P60712	P60712	ACTB	ACTB					17521670:0114:LC
P61157	Q3T035	ACTR3	ARPC3					15505213:0114:LC|10940259:0114:LC
P61157	Q58CQ2	ACTR3	ARPC1B					23893131:0114:LC|18462674:0071:LC|18462674:0826:LC|19648907:0071:LC|18462674:0028:LC|18462674:0067:LC|19648907:0114:LC
P61602	P61602	NCALD	NCALD					9886296:0114:LC
P61823	P61823	RNASE1	RNASE1					30691130:0114:LC|15969595:0114:LC|PDB_4OKF:0114:LC|PDB_3DXH:0114:LC|19191310:0114:LC|15823052:0114:LC|10089510:0114:LC|30004541:0114:LC|8031793:0114:LC|20883003:0114:LC|PDB_5NJ7:0114:LC|PDB_5ET4:0114:LC|26096515:0114:LC|PDB_4K7L:0114:LC|2340284:0114:LC|15670155:0114:LC|26655472:0114:LC|PDB_3DXG:0114:LC|9520384:0114:LC|10441122:0114:LC|27411388:0114:LC|10892814:0114:LC|25025479:0114:LC|24694179:0114:LC|11373282:0114:LC|19291738:0114:LC|3680242:0114:LC|11015216:0114:LC|19173562:0114:LC|16730994:0114:LC|23122937:0114:LC|29353085:0114:LC|28702564:0114:LC|18445622:0114:LC|14573867:0114:LC|3680234:0114:LC|10091597:0114:LC|24093479:0114:LC|15299768:0114:LC|8142897:0114:LC|1730593:0114:LC|PDB_4O37:0114:LC|21205197:0114:LC|24287583:0114:LC|11224563:0114:LC|17327674:0114:LC|15658854:0114:LC|16045769:0114:LC|PDB_2OQF:0114:LC|20124705:0114:LC|11112508:0114:LC|29509011:0114:LC|1463720:0114:LC|19280639:0114:LC|10731423:0114:LC|11790847:0114:LC|10196124:0114:LC|26609781:0114:LC|26239545:0114:LC|PDB_4O36:0114:LC|11746706:0114:LC|8648618:0114:LC|22594773:0114:LC|11513604:0114:LC|27427335:0114:LC|22273774:0114:LC|9154942:0114:LC|10409822:0114:LC
P61823	Q3SZN8	RNASE1	RNH1					24941155:0114:LC
P62157	P62157	CALM	CALM					10731425:0114:LC
P62871	P62871	GNB1	GNB1					29777099:0114:LC|8259210:0114:LC
P62871	P63097	GNB1	GNAI1					8521505:0114:LC|20018744:0077:LC|20018744:0071:LC|20018744:0038:LC
P62871	P63212	GNB1	GNG2					29627263:0114:LC|16339447:0114:LC|20018744:0096:LC|22882301:0114:LC|29070696:0114:LC|24220010:0114:LC|20639466:0114:LC|16060668:0114:LC|12764189:0114:LC|8521505:0114:LC|20018744:0071:LC|20128603:0114:LC|20018744:0038:LC|22727813:0114:LC|20018744:0226:LC|21596927:0114:LC
P62992	P62992	RPS27A	RPS27A					26171660:0114:LC|28082312:0114:LC
P63103	P63103	YWHAZ	YWHAZ					9632691:0114:LC|7603574:0114:LC
P67868	P68399	CSNK2B	CSNK2A1					7768894:0019:LC|2663470:0415:LC
P68401	Q29460	PAFAH1B2	PAFAH1B3					8985254:0114:LC|11522926:0114:LC
P79114	P79114	MYO10	MYO10					21666676:0030:LC|27580874:0114:LC
P79125	P79125	SPLUNC2B	SPLUNC2B					PDB_6O1T:0114:LC|PDB_5WD6:0114:LC
P79345	P79345	NPC2	NPC2					17573352:0114:LC
P80457	P80457	XDH	XDH					15190124:0114:LC|12421831:0114:LC|11005854:0114:LC|18600558:0114:LC|18063585:0114:LC|15148401:0114:LC|22145797:0114:LC|21077683:0114:LC|20952484:0114:LC
P81947	Q6B856	P81947	TUBB2B					23287720:0114:LC|27219064:0114:LC|19135893:0114:LC|23434508:0114:LC|22997337:0114:LC|29980677:0114:LC|27306797:0114:LC|28912485:0114:LC|27452403:0114:LC|23358242:0114:LC
P81948	Q6B856	TUBA4A	TUBB2B					15959508:0045:LC|18588888:0065:LC|15917812:0114:LC
P85100	Q9BE39	MYL3	MYH7					PDB_6FSA:0114:LC|28775348:0114:LC
P98072	P98072	TMPRSS15	TMPRSS15					10493881:0114:LC
Q00194	Q00194	CNGA1	CNGA1					21878911:0114:LC
Q04645	Q08DA1	FXYD2	ATP1A1					27050261:0114:LC
Q05JF3	Q05JF3	CASQ1	CASQ1					27649144:0114:LC
Q148J6	Q58CQ2	ARPC4	ARPC1B					23893131:0114:LC|18462674:0071:LC|18462674:0826:LC|19648907:0071:LC|18462674:0028:LC|18462674:0067:LC|19648907:0114:LC
Q1RMX3	Q1RMX3	BCL2L2	BCL2L2					24747052:0114:LC
Q27954	Q28104	COPA	COPE					8858162:0018:LC|20579721:0071:LC|20579721:0114:LC|8858162:0006:LC
Q28021	Q28021	ROCK2	ROCK2					16531242:0114:LC|12954645:0114:LC
Q28107	Q28107	F5	F5					15184653:0114:LC
Q28146	Q28146	NRXN1	NRXN1					16772286:0114:LC|30193986:0114:LC
Q28175	Q28175	RPE65	RPE65					PDB_4ZHK:0114:LC|PDB_4RYZ:0114:LC|19805034:0114:LC|28476927:0114:LC|23012475:0114:LC|PDB_4RYY:0114:LC|25894083:0114:LC|20100834:0114:LC
Q29437	Q29437	Q29437	Q29437					15701511:0114:LC|17989349:0114:LC
Q29451	Q29451	MAN2B1	MAN2B1					12634058:0114:LC|9208932:0114:LC
