Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P53762	Q61079	ARNT	SIM2			MGI:88071	MGI:98307	9704006:0018:LC|11782478:0019:LC|9020169:0018:LC
P53762	Q61221	ARNT	HIF1A			MGI:88071	MGI:106918	26245371:0071:LC|26245371:0007:LC|26245371:0114:LC|20609350:0096:LC|26245371:0096:LC|20609350:0006:LC
P53762	Q9QZQ0	ARNT	NPAS3			MGI:88071	MGI:1351610	27782878:0114:LC|27782878:0004:LC
P53776	P70662	LHX4	LDB1			MGI:101776	MGI:894762	20211142:0018:HT
P53776	Q9CXV0	LHX4	ISL2			MGI:101776	MGI:109156	20211142:0018:HT
P54071	P54071	IDH2	IDH2			MGI:96414	MGI:96414	28852116:0114:LC
P54116	P54116	STOM	STOM			MGI:95403	MGI:95403	22850675:0071:LC|22850675:0114:LC|22850675:0809:LC|22850675:0028:LC
P54728	Q9JI78	RAD23B	NGLY1			MGI:105128	MGI:1913276	11562482:0096:LC|16500903:0114:LC|11562482:0018:LC
P54763	P54763	EPHB2	EPHB2			MGI:99611	MGI:99611	16977320:0114:LC|16977320:0077:LC|11572780:0045:LC|11572780:0114:LC
P54775	P54775	PSMC4	PSMC4			MGI:1346093	MGI:1346093	21128684:0114:LC
P54818	P54818	GALC	GALC			MGI:95636	MGI:95636	29323104:0114:LC
P54818	Q61207	GALC	PSAP			MGI:95636	MGI:97783	29323104:0114:LC
P54841	P54841	MAFB	MAFB			MGI:104555	MGI:104555	24530283:0114:LC|17671361:0114:LC
P54841	Q8C092	MAFB	TAF5			MGI:104555	MGI:2442144	20211142:0018:HT
P55012	Q9Z1W9	SLC12A2	STK39			MGI:101924	MGI:1858416	12386165:0006:LC|14563843:0006:LC|12386165:0018:LC|12386165:0004:LC
P55097	P55097	CTSK	CTSK			MGI:107823	MGI:107823	PDB_6BKI:0114:LC
P55098	P63166	PEX2	SUMO1			MGI:107486	MGI:1197010	11591653:0397:HT
P55264	P55264	ADK	ADK			MGI:87930	MGI:87930	PDB_5KB6:0114:LC
P55284	Q99NH2	CDH5	PARD3			MGI:105057	MGI:2135608	17057644:0096:LC|20047332:0114:LC|17057644:0006:LC|17057644:0019:LC
P55288	P55288	CDH11	CDH11			MGI:99217	MGI:99217	21572446:0028:LC|16564015:0114:LC
P56198	P56198	CIDEC	CIDEC			MGI:95585	MGI:95585	24025675:0114:LC
P56280	P56280	TCL1A	TCL1A			MGI:1097166	MGI:1097166	11679718:0114:LC
P56389	P56389	CDA	CDA			MGI:1919519	MGI:1919519	11591653:0018:HT|11591653:0397:HT|16784234:0114:LC
P56477	Q8C964	IRF5	ZFP764			MGI:1350924	MGI:2443580	20211142:0018:HT
P56480	P63101	ATP5F1B	YWHAZ			MGI:107801	MGI:109484	19562802:0028:LC|16615898:0027:LC
P56528	P56528	CD38	CD38			MGI:107474	MGI:107474	PDB_2EG9:0114:LC|22863568:0030:LC|22863568:0028:LC|22863568:0071:LC|22863568:0114:LC|22863568:0007:LC
P56546	Q64318	CTBP2	ZEB1			MGI:1201686	MGI:1344313	10567582:0018:LC|12714599:0018:LC|10567582:0004:LC
P56873	P56873	SSSCA1	SSSCA1			MGI:1913482	MGI:1913482	11591653:0018:HT|11591653:0397:HT
P56873	P80313	SSSCA1	CCT7			MGI:1913482	MGI:107184	11591653:0018:HT|11591653:0397:HT
P56873	Q7TN02	SSSCA1	MED26			MGI:1913482	MGI:1917875	11591653:0018:HT|11591653:0397:HT
P56873	Q9D0C1	SSSCA1	RNF115			MGI:1913482	MGI:1915095	11591653:0018:HT|11591653:0397:HT
P56931	Q64163	E2F2	TFDP2			MGI:1096341	MGI:107167	20211142:0018:HT
P58252	P63101	EEF2	YWHAZ			MGI:95288	MGI:109484	19562802:0028:LC|16615898:0027:LC
P58281	P63101	OPA1	YWHAZ			MGI:1921393	MGI:109484	19562802:0028:LC|16615898:0027:LC
P58462	P58462	FOXP1	FOXP1			MGI:1914004	MGI:1914004	20211142:0018:HT
P58462	P97471	FOXP1	SMAD4			MGI:1914004	MGI:894293	20211142:0018:HT
P58462	Q9WTU0	FOXP1	PHF2			MGI:1914004	MGI:1338034	20211142:0018:HT
P58462	Q9WVB3	FOXP1	TLE6			MGI:1914004	MGI:2149593	20211142:0018:HT
P58681	Q8VCW4	TLR7	UNC93B1			MGI:2176882	MGI:1859307	19451267:0007:LC|17452530:0007:LC
P58774	Q8BMZ5	TPM2	TSEN34			MGI:98810	MGI:1913328	11591653:0397:HT
P58801	Q8K3Z0	RIPK2	NOD2			MGI:1891456	MGI:2429397	18775659:0007:LC|15620648:0019:LC
P58929	P70700	GMEB2	POLR1B			MGI:2652836	MGI:108014	20211142:0018:HT
P58929	P97311	GMEB2	MCM6			MGI:2652836	MGI:1298227	20211142:0018:HT
P58929	Q640N1	GMEB2	AEBP1			MGI:2652836	MGI:1197012	20211142:0018:HT
P58929	Q811S7	GMEB2	UBP1			MGI:2652836	MGI:104889	20211142:0018:HT
P58929	Q8BVL5	GMEB2	ZFP277			MGI:2652836	MGI:1890393	20211142:0018:HT
P58929	Q8CCE9	GMEB2	E4F1			MGI:2652836	MGI:109530	20211142:0018:HT
P58929	Q9D2H6	GMEB2	SP2			MGI:2652836	MGI:1926162	20211142:0018:HT
P58929	Q9WTP9	GMEB2	VAX2			MGI:2652836	MGI:1346018	20211142:0018:HT
P58929	Q9Z0S2	GMEB2	LHX2			MGI:2652836	MGI:96785	20211142:0018:HT
P59672	Q62108	ANKS1A	DLG4			MGI:2446180	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P59823	P59823	IL1RAPL1	IL1RAPL1			MGI:2687319	MGI:2687319	25908590:0114:LC
P59823	Q64487	IL1RAPL1	PTPRD			MGI:2687319	MGI:97812	21940441:0405:LC|21940441:0663:LC|25908590:0114:LC|21940441:0007:LC|21940441:0416:LC|21940441:0107:LC|21940441:0096:LC
P59997	P59997	KDM2A	KDM2A			MGI:1354736	MGI:1354736	25128496:0114:LC
P59997	P84228	KDM2A	HIST1H3B|HIST1H3C|HIST1H3D|HIST1H3E|HIST1H3F|HIST2H3B|HIST2H3C1|HIST2H3C2			MGI:1354736	MGI:2448319|MGI:2448320|MGI:2448322|MGI:2448326|MGI:2448329|MGI:2448351|MGI:2448355|MGI:2448357	25128496:0114:LC
P59999	Q62108	ARPC4	DLG4			MGI:1915339	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P60122	Q9WTM5	RUVBL1	RUVBL2			MGI:1928760	MGI:1342299	20211142:0018:HT
P60202	Q62108	PLP1	DLG4			MGI:97623	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
P60335	P62880	PCBP1	GNB2			MGI:1345635	MGI:95784	11591653:0397:HT
P60335	Q9DCP6	PCBP1	0610012G03RIK			MGI:1345635	MGI:1913301	11591653:0397:HT
P60335	Q9JLT4	PCBP1	TXNRD2			MGI:1345635	MGI:1347023	11591653:0397:HT
P60487	P60487	PDXP	PDXP			MGI:1919282	MGI:1919282	25783190:0114:LC|24338687:0114:LC
P60605	P60605	UBE2G2	UBE2G2			MGI:1343188	MGI:1343188	17310145:0071:LC|24366945:0872:LC|24366945:0030:LC|24366945:0969:LC|17310145:0415:LC|19223579:0114:LC|19223579:0007:LC
P60670	Q01853	NPLOC4	VCP			MGI:2679787	MGI:99919	17491009:0096:LC|17491009:0114:LC
P60710	Q5S006	ACTB	LRRK2			MGI:87904	MGI:1913975	24687852:0006:LC|20876399:0006:LC
P60710	Q923J1	ACTB	TRPM7			MGI:87904	MGI:1929996	16407977:0007:LC|24855944:0007:LC
P60843	Q6NZJ6	EIF4A1	EIF4G1			MGI:95303	MGI:2384784	19153607:0065:LC|16541103:0006:LC|16541103:0007:LC
P60879	P63044	SNAP25	VAMP2			MGI:98331	MGI:1313277	20114047:0004:LC|19805029:0808:LC|19703397:0808:LC|17283335:0892:LC|24705552:0006:LC|24705552:0004:LC|16565726:0029:LC|22187053:0006:LC|20114047:0006:LC
P60879	Q155P7	SNAP25	CENPF			MGI:98331	MGI:1313302	16672379:0663:LC|18827011:0051:LC|18827011:0006:LC|16672379:0006:LC|16672379:0007:LC|16672379:0018:LC
P60879	Q62277	SNAP25	SYP			MGI:98331	MGI:98467	20114047:0004:LC|20114047:0006:LC|19022416:0006:LC
P60898	P97875	POLR2I	JDP2			MGI:1917170	MGI:1932093	20211142:0018:HT
P61089	P70196	UBE2N	TRAF6			MGI:1934835	MGI:108072	20185725:0007:LC|21765415:0004:LC|20185725:0004:LC|21765415:0006:LC
P61089	Q9CZY3	UBE2N	UBE2V1			MGI:1934835	MGI:1913839	12039045:0018:LC|11406273:0018:LC
P61089	Q9D2M8	UBE2N	UBE2V2			MGI:1934835	MGI:1917870	12039045:0018:LC|11406273:0018:LC
P61092	P61092	SIAH1A	SIAH1A			MGI:108064	MGI:108064	11742346:0114:LC|8404535:0114:LC|16615911:0114:LC
