Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9VHH1	Q9VKZ2	DMEL\CG8420	Q9VKZ2	CG8420|DMEL_CG8420		FBGN0037664		14605208:0398:HT|14605208:0018:HT
Q9VHH1	Q9VWQ7	DMEL\CG8420	DMEL\CG6891	CG8420|DMEL_CG8420	CG6891|DMEL_CG6891	FBGN0037664	FBGN0030955	14605208:0398:HT|14605208:0018:HT
Q9VHH8	Q9VHR7	BEAG	DMEL\CG7352	CG18005|DMEL_CG18005	CG7352|DMEL_CG7352	FBGN0037660	FBGN0037581	14605208:0398:HT|14605208:0018:HT
Q9VHH8	Q9VYT9	BEAG	DMEL\CG15741	CG18005|DMEL_CG18005	CG15741|DMEL_CG15741	FBGN0037660	FBGN0030338	14605208:0398:HT|14605208:0018:HT
Q9VHI5	Q9VK34	Q9VHI5	SIRT1		CG5216		FBGN0024291	14605208:0398:HT
Q9VHI5	Q9VUL2	Q9VHI5	DMEL\CG13458		CG13458|DMEL_CG13458		FBGN0036479	14605208:0398:HT
Q9VHI5	Q9W029	Q9VHI5	YELLOW-G		CG5717|DMEL_CG5717		FBGN0041709	14605208:0398:HT
Q9VHI5	X2J9Y4	Q9VHI5	EBO		CG3923|DMEL_CG3923		FBGN0266572	14605208:0398:HT
Q9VHI7	Q9VRI3	DMEL\CG11982	DMEL\CG10918	CG11982|DMEL_CG11982	CG10918|DMEL_CG10918	FBGN0037653	FBGN0031178	14605208:0398:HT|14605208:0018:HT
Q9VHJ3	Q9VZF4	E(VAR)3-9	AGO	CG11971|DMEL_CG11971	CG15010	FBGN0260243	FBGN0041171	15710747:0399:HT|15710747:0018:HT
Q9VHJ7	Q9VNI5	DMEL\CG11964	DMEL\CG10979	CG11964|DMEL_CG11964	CG10979|DMEL_CG10979	FBGN0037644	FBGN0037379	14605208:0398:HT|14605208:0018:HT
Q9VHJ7	Q9VYG2	DMEL\CG11964	BAP60	CG11964|DMEL_CG11964	CG4303	FBGN0037644	FBGN0025463	14605208:0398:HT|14605208:0018:HT
Q9VHK6	Q9W3S4	ISCU	CC28	CG9836|DMEL_CG9836	CG4617|DMEL_CG4617	FBGN0037637	FBGN0029936	14605208:0398:HT|14605208:0018:HT
